date,mean_abs_correlation_60d,connectedness_60d
2019-07-31,0.13998261778755222,0.13998261778755222
2019-08-01,0.1366579940094132,0.1366579940094132
2019-08-02,0.1359802559136564,0.1359802559136564
2019-08-05,0.1574302860617658,0.1574302860617658
2019-08-06,0.1468513908395141,0.1468513908395141
2019-08-07,0.13342601138432172,0.13342601138432172
2019-08-08,0.15046563325605403,0.15046563325605403
2019-08-09,0.14398786925516285,0.14398786925516285
2019-08-13,0.15268970937923554,0.15268970937923554
2019-08-14,0.1636004502199132,0.1636004502199132
2019-08-16,0.1668615982170755,0.1668615982170755
2019-08-19,0.16948045681683072,0.16948045681683072
2019-08-20,0.19145730285228976,0.19145730285228976
2019-08-21,0.18268703696236438,0.18268703696236438
2019-08-22,0.18115314970348298,0.18115314970348298
2019-08-23,0.18028722436137612,0.18028722436137612
2019-08-26,0.18370286758805238,0.18370286758805238
2019-08-27,0.18016178121538845,0.18016178121538845
2019-08-28,0.1705245327741594,0.1705245327741594
2019-08-29,0.1740388172119967,0.1740388172119967
2019-08-30,0.17742316905633307,0.17742316905633307
2019-09-03,0.19273593979070405,0.19273593979070405
2019-09-04,0.20148308781086333,0.20148308781086333
2019-09-05,0.20525881449427336,0.20525881449427336
2019-09-06,0.208090903992298,0.208090903992298
2019-09-09,0.21021883346597908,0.21021883346597908
2019-09-11,0.20668167689295208,0.20668167689295208
2019-09-12,0.20642560863837897,0.20642560863837897
2019-09-13,0.20881728139799596,0.20881728139799596
2019-09-16,0.19840128408755445,0.19840128408755445
2019-09-17,0.20470478553547752,0.20470478553547752
2019-09-18,0.22021899804388756,0.22021899804388756
2019-09-19,0.21762220628496973,0.21762220628496973
2019-09-20,0.19647856792395185,0.19647856792395185
2019-09-23,0.19031376437283046,0.19031376437283046
2019-09-24,0.1927376850582302,0.1927376850582302
2019-09-25,0.19274984151331567,0.19274984151331567
2019-09-26,0.19415404167102673,0.19415404167102673
2019-09-27,0.1942502832915176,0.1942502832915176
2019-09-30,0.19466401865530583,0.19466401865530583
2019-10-01,0.2052514788257062,0.2052514788257062
2019-10-03,0.20839782179176972,0.20839782179176972
2019-10-04,0.20581594186483074,0.20581594186483074
2019-10-07,0.20480899461342544,0.20480899461342544
2019-10-09,0.201570798393628,0.201570798393628
2019-10-10,0.20583546564769573,0.20583546564769573
2019-10-11,0.20820635212436886,0.20820635212436886
2019-10-14,0.20792185770946892,0.20792185770946892
2019-10-15,0.20808180768695267,0.20808180768695267
2019-10-16,0.20877829606176365,0.20877829606176365
2019-10-17,0.20861799944741383,0.20861799944741383
2019-10-18,0.20998637167448844,0.20998637167448844
2019-10-22,0.2068462150243929,0.2068462150243929
2019-10-23,0.208286582436392,0.208286582436392
2019-10-24,0.20733953209519201,0.20733953209519201
2019-10-25,0.2092419293719557,0.2092419293719557
2019-10-29,0.20473061104430773,0.20473061104430773
2019-10-30,0.20411905417745532,0.20411905417745532
2019-10-31,0.2027665355583951,0.2027665355583951
2019-11-01,0.20566620674465558,0.20566620674465558
2019-11-04,0.20929027343328171,0.20929027343328171
2019-11-05,0.19453072252473216,0.19453072252473216
2019-11-06,0.19578635571313016,0.19578635571313016
2019-11-07,0.17986674275877507,0.17986674275877507
2019-11-08,0.17941443151280262,0.17941443151280262
2019-11-11,0.18464987677768596,0.18464987677768596
2019-11-13,0.18579199558970916,0.18579199558970916
2019-11-14,0.18387189894009986,0.18387189894009986
2019-11-15,0.1922769505814474,0.1922769505814474
2019-11-18,0.20690042403103423,0.20690042403103423
2019-11-19,0.22227229486958436,0.22227229486958436
2019-11-20,0.21546172396164046,0.21546172396164046
2019-11-21,0.21285726901278945,0.21285726901278945
2019-11-22,0.2122799004242316,0.2122799004242316
2019-11-25,0.2112635211564157,0.2112635211564157
2019-11-26,0.2027168832263818,0.2027168832263818
2019-11-27,0.2063668384302318,0.2063668384302318
2019-11-28,0.20661768883754958,0.20661768883754958
2019-11-29,0.20978332794100463,0.20978332794100463
2019-12-02,0.20671297988245846,0.20671297988245846
2019-12-03,0.20809361293903023,0.20809361293903023
2019-12-04,0.19969916978391178,0.19969916978391178
2019-12-05,0.19682667516381874,0.19682667516381874
2019-12-06,0.19813900328418768,0.19813900328418768
2019-12-09,0.19780269877009515,0.19780269877009515
2019-12-10,0.19492333737067774,0.19492333737067774
2019-12-11,0.19609718506040363,0.19609718506040363
2019-12-12,0.19936992574944035,0.19936992574944035
2019-12-13,0.19805429292650686,0.19805429292650686
2019-12-16,0.24191535071594905,0.24191535071594905
2019-12-17,0.23646211449923205,0.23646211449923205
2019-12-18,0.23915888258188817,0.23915888258188817
2019-12-19,0.2400720656519159,0.2400720656519159
2019-12-20,0.23764973098357434,0.23764973098357434
2019-12-23,0.23643258891896485,0.23643258891896485
2019-12-24,0.2362056927182824,0.2362056927182824
2019-12-26,0.24022923229635168,0.24022923229635168
2019-12-27,0.23768486671601088,0.23768486671601088
2019-12-30,0.23989777217604943,0.23989777217604943
2019-12-31,0.2419797979597414,0.2419797979597414
2020-01-01,0.2059623804587821,0.2059623804587821
2020-01-02,0.18951769115165426,0.18951769115165426
2020-01-03,0.18712160259287128,0.18712160259287128
2020-01-06,0.19262967085744498,0.19262967085744498
2020-01-07,0.20012871391329168,0.20012871391329168
2020-01-08,0.19343449390362763,0.19343449390362763
2020-01-09,0.18982998857181876,0.18982998857181876
2020-01-10,0.1923850317705021,0.1923850317705021
2020-01-13,0.197620477412344,0.197620477412344
2020-01-14,0.19793811315885332,0.19793811315885332
2020-01-15,0.19954842609954504,0.19954842609954504
2020-01-16,0.203536043001009,0.203536043001009
2020-01-17,0.20699821192265888,0.20699821192265888
2020-01-20,0.20865147570449002,0.20865147570449002
2020-01-21,0.21194431825233373,0.21194431825233373
2020-01-22,0.22037952313022022,0.22037952313022022
2020-01-23,0.22683103318083114,0.22683103318083114
2020-01-24,0.23129047823050458,0.23129047823050458
2020-01-27,0.25936924955957386,0.25936924955957386
2020-01-28,0.2478415052012048,0.2478415052012048
2020-01-29,0.24915254034596612,0.24915254034596612
2020-01-30,0.26020390645350416,0.26020390645350416
2020-01-31,0.2691967010956403,0.2691967010956403
2020-02-03,0.2467047805814789,0.2467047805814789
2020-02-04,0.28400506295988653,0.28400506295988653
2020-02-05,0.2911477129263392,0.2911477129263392
2020-02-06,0.28944893707147673,0.28944893707147673
2020-02-07,0.29543718263167285,0.29543718263167285
2020-02-10,0.28553166413701586,0.28553166413701586
2020-02-11,0.2894670301165431,0.2894670301165431
2020-02-12,0.29572915664301297,0.29572915664301297
2020-02-13,0.2971085297979587,0.2971085297979587
2020-02-14,0.301976975231471,0.301976975231471
2020-02-17,0.30308288480478063,0.30308288480478063
2020-02-18,0.30162288549730676,0.30162288549730676
2020-02-19,0.3001025535487828,0.3001025535487828
2020-02-20,0.29943134939218324,0.29943134939218324
2020-02-24,0.3945211249908426,0.3945211249908426
